id,check,tc,cu_ox,reason
CaCu2O3-MP-mp-7466.cif,A_undoped_insulator_sc,35.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
La1.87Y0.13CuO4-MP-mp-1077929.cif,A_undoped_insulator_sc,16.7,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
La1.95Sm0.05CuO4-MP-mp-1077929.cif,A_undoped_insulator_sc,20.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
La1.91Y0.09CuO4-MP-mp-1077929.cif,A_undoped_insulator_sc,22.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
ErBa2Cu3O6.53-ICSD-63321.cif,A_undoped_insulator_sc,54.0,2.02,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
ErBa2Cu3O6.49-ICSD-63321.cif,A_undoped_insulator_sc,43.5,1.993,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
ErBa2Cu3O6.48-ICSD-63321.cif,A_undoped_insulator_sc,23.0,1.987,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
GdBa2Cu3O6.53-ICSD-63321.cif,A_undoped_insulator_sc,85.0,2.02,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
GdBa2Cu3O6.49-ICSD-63321.cif,A_undoped_insulator_sc,48.0,1.993,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
HgBa2Ca4Cu5O12-ICSD-80718.cif,A_undoped_insulator_sc,108.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
HoBa2Cu3O6.49-ICSD-63321.cif,A_undoped_insulator_sc,60.0,1.993,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Gd0.01Y0.99Ba2Cu3O6.53-ICSD-63321.cif,A_undoped_insulator_sc,60.0,2.02,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
YBa2Cu3O6.52-ICSD-63321.cif,A_undoped_insulator_sc,55.0,2.013,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
YBa2Cu3O6.48-ICSD-63321.cif,A_undoped_insulator_sc,51.0,1.987,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
YBa2Cu3O6.53-ICSD-63321.cif,A_undoped_insulator_sc,41.0,2.02,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Y0.8Ca0.2Ba2Cu3O6.41-ICSD-63321.cif,A_undoped_insulator_sc,28.7,2.007,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Y2Ba4Cu7O14-ICSD-63321.cif,A_undoped_insulator_sc,15.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Ba1.9Cu3La0.1Y1O8-MP-mp-1214613-synth_doped.cif,B_implausible_cu_ox,64.0,2.967,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ba2Cu1Hg1O4.31-MP-mp-6562-synth_doped.cif,B_implausible_cu_ox,78.0,2.62,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ba2Cu1Hg1O4.34-MP-mp-6562-synth_doped.cif,B_implausible_cu_ox,59.0,2.68,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ba2Cu1Hg1O4.37-MP-mp-6562-synth_doped.cif,B_implausible_cu_ox,37.5,2.74,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ba2Cu1Hg1O4.39-MP-mp-6562-synth_doped.cif,B_implausible_cu_ox,24.2,2.78,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Cu1La2O4.32-MP-mp-1077929-synth_doped.cif,B_implausible_cu_ox,37.5,2.64,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Cu1Nd1.7O4-MP-mp-4158-synth_doped.cif,B_implausible_cu_ox,30.7,2.9,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
CuO2-MP-mp-25378.cif,B_implausible_cu_ox,100.0,4.0,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2CaCu2O8-MP-mp-6879.cif,B_implausible_cu_ox,116.0,4.0,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Sr2CuO3.4-MP-mp-5456.cif,B_implausible_cu_ox,92.0,2.8,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2CuO4.5-MP-mp-6562.cif,B_implausible_cu_ox,78.5,3.0,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2CuO4.9-MP-mp-6562.cif,B_implausible_cu_ox,82.8,3.8,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2CuO4.4-MP-mp-6562.cif,B_implausible_cu_ox,22.5,2.8,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
LaSrCuO4-MP-mp-1218202.cif,B_implausible_cu_ox,40.0,3.0,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Y1Ba2Cu3O8-MP-mp-1214613.cif,B_implausible_cu_ox,104.5,3.0,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
La0.8Ba0.2CuO3-MP-mp-3474.cif,B_implausible_cu_ox,30.0,3.2,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
La0.85Ba0.15CuO3-MP-mp-3474.cif,B_implausible_cu_ox,30.0,3.15,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Y0.75Ba0.25CuO3-MP-mp-1340758.cif,B_implausible_cu_ox,90.0,3.25,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Y0.9Ba0.1CuO3-MP-mp-1340758.cif,B_implausible_cu_ox,90.0,3.1,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ba0.67CuO2-MP-mp-997034.cif,B_implausible_cu_ox,13.0,2.66,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2CuO4.7-MP-mp-6562.cif,B_implausible_cu_ox,95.3,3.4,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2CuO4.36-MP-mp-6562.cif,B_implausible_cu_ox,40.0,2.72,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2CuO4.6-MP-mp-6562.cif,B_implausible_cu_ox,88.5,3.2,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2CuO4.8-MP-mp-6562.cif,B_implausible_cu_ox,89.1,3.6,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Y0.5Ba0.5CuO3-MP-mp-1042162.cif,B_implausible_cu_ox,90.0,3.5,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ba2CuO4-MP-mp-1147762.cif,B_implausible_cu_ox,30.0,4.0,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ca2Cu2.4O6.4-MP-mp-1343555.cif,B_implausible_cu_ox,90.0,3.667,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ca2Cu3.4O8.6-MP-mp-1047437.cif,B_implausible_cu_ox,115.0,3.882,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
La2CuO4.5-MP-mp-1077929.cif,B_implausible_cu_ox,48.0,3.0,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
La1.4Sr0.6CuO4-MP-mp-1218240.cif,B_implausible_cu_ox,38.5,2.6,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Cu3Na7O8-MP-mp-675539.cif,B_implausible_cu_ox,67.0,3.0,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
La1.932Sr0.068Cu2O4-MP-mp-20072.cif,B_implausible_cu_ox,33.2,1.034,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
La0.8Sr0.2CuO3-MP-mp-3474.cif,B_implausible_cu_ox,35.5,3.2,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
HgBa2Ca2Cu3O9-ICSD-80718.cif,B_implausible_cu_ox,134.5,2.667,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
YBa2Cu3O7.8-ICSD-63321.cif,B_implausible_cu_ox,92.0,2.867,"nominal Cu ox outside [1.7,2.6] with Tc>10K — O-content artifact"
Ba2Ca0.1Cu3Y0.9O7-MP-mp-20674-synth_doped.cif,C_overdoped_dome_violation,81.8,2.367,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Ca0.2Cu3Y0.8O7-MP-mp-20674-synth_doped.cif,C_overdoped_dome_violation,71.6,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cd0.1Cu3Y0.9O7-MP-mp-20674-synth_doped.cif,C_overdoped_dome_violation,89.9,2.367,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cd0.2Cu3Y0.8O7-MP-mp-20674-synth_doped.cif,C_overdoped_dome_violation,92.8,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cd0.3Cu3Y0.7O7-MP-mp-20674-synth_doped.cif,C_overdoped_dome_violation,92.8,2.433,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu1Hg1O4.18-MP-mp-6562-synth_doped.cif,C_overdoped_dome_violation,95.16,2.36,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu1Hg1O4.2-MP-mp-6562-synth_doped.cif,C_overdoped_dome_violation,94.2,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu1Hg1O4.21-MP-mp-6562-synth_doped.cif,C_overdoped_dome_violation,80.0,2.42,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu1Hg1O4.22-MP-mp-6562-synth_doped.cif,C_overdoped_dome_violation,97.0,2.44,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu1Hg1O4.28-MP-mp-6562-synth_doped.cif,C_overdoped_dome_violation,85.0,2.56,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu1Hg1O4.3-MP-mp-6562-synth_doped.cif,C_overdoped_dome_violation,81.0,2.6,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu3Y0.7Zn0.3O7-MP-mp-20674-synth_doped.cif,C_overdoped_dome_violation,23.5,2.433,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu3Y0.8Zn0.2O7-MP-mp-20674-synth_doped.cif,C_overdoped_dome_violation,43.0,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2Cu3Y0.9Zn0.1O7-MP-mp-20674-synth_doped.cif,C_overdoped_dome_violation,54.9,2.367,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ca1.8Cl2Cu1O2-MP-mp-23143-synth_doped.cif,C_overdoped_dome_violation,41.0,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Cl1Cu2Sr3O5-MP-mp-1147678-synth_doped.cif,C_overdoped_dome_violation,70.0,2.5,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Cu1K0.2La1.8O4-MP-mp-1077929-synth_doped.cif,C_overdoped_dome_violation,41.0,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Cu1Nd1.8O4-MP-mp-4158-synth_doped.cif,C_overdoped_dome_violation,31.3,2.6,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Y0.7Ca0.3Ba2Cu3O7-MP-mp-20674.cif,C_overdoped_dome_violation,78.0,2.433,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
HgBa2CuO4.23-MP-mp-6562.cif,C_overdoped_dome_violation,35.0,2.46,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2CuO3.2-MP-mp-8790.cif,C_overdoped_dome_violation,71.5,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
La1.8CuO4-MP-mp-1077929.cif,C_overdoped_dome_violation,36.0,2.6,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Sr2CuO3.3-MP-mp-5456.cif,C_overdoped_dome_violation,42.5,2.6,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
YBa1.7K0.3Cu3O7-MP-mp-20674.cif,C_overdoped_dome_violation,89.0,2.433,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
YBa1.85K0.15Cu3O7-MP-mp-20674.cif,C_overdoped_dome_violation,65.0,2.383,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
YBa1.9Na0.1Cu3O7-MP-mp-20674.cif,C_overdoped_dome_violation,91.0,2.367,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
GdBa1.9Cu3O7-MP-mp-19813.cif,C_overdoped_dome_violation,92.0,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Y0.89Ca0.11Ba2Cu3O7-MP-mp-20674.cif,C_overdoped_dome_violation,75.0,2.37,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Lu0.9Ca0.1Ba2Cu3O7-MP-mp-20324.cif,C_overdoped_dome_violation,64.0,2.367,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Y0.93Ca0.07Ba2Cu3O7-MP-mp-20674.cif,C_overdoped_dome_violation,75.5,2.357,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ho0.7Ca0.3Ba2Cu3O7-MP-mp-6616.cif,C_overdoped_dome_violation,30.0,2.433,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Gd0.95Ba2Cu3O7-MP-mp-19813.cif,C_overdoped_dome_violation,87.0,2.383,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2CuO3.25-MP-mp-8790.cif,C_overdoped_dome_violation,73.0,2.5,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
La1.55Sr0.45CuO4-MP-mp-1218240.cif,C_overdoped_dome_violation,30.0,2.45,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
La1.8Na0.2CuO4-MP-mp-1077929.cif,C_overdoped_dome_violation,30.0,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Ba2EuCu3O7.1-ICSD-63321.cif,C_overdoped_dome_violation,93.75,2.4,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
GdBa2Cu2.85O7-ICSD-63321.cif,C_overdoped_dome_violation,88.0,2.456,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
HoBa2Cu3O7.05-ICSD-63321.cif,C_overdoped_dome_violation,90.0,2.367,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
LaBa2Cu3O7.06-ICSD-63321.cif,C_overdoped_dome_violation,79.0,2.373,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
NdBa2Cu3O7.04-ICSD-63321.cif,C_overdoped_dome_violation,77.0,2.36,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
Pr1.08Ba1.92Cu2.88O7-ICSD-63321.cif,C_overdoped_dome_violation,80.0,2.403,Cu ox 2.35-2.6 with Tc>20K — beyond known dome edges
FeSe-MP-mp-20311.cif,E_nemad_iqr,9.4,,NEMAD source IQR >10K — sources disagree by more than a dome width
Tl2Ba2CuO6-MP-mp-6027.cif,E_nemad_iqr,83.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
PrBa2Cu3O7-MP-mp-20936.cif,E_nemad_iqr,85.0,2.333,NEMAD source IQR >10K — sources disagree by more than a dome width
YBa2Cu3O6.4-MP-mp-1229067.cif,E_nemad_iqr,26.0,1.933,NEMAD source IQR >10K — sources disagree by more than a dome width
SmFeAsO0.9F0.1-MP-mp-20349.cif,E_nemad_iqr,53.6,,NEMAD source IQR >10K — sources disagree by more than a dome width
YBa2Cu3O6.75-MP-mp-1228425.cif,E_nemad_iqr,74.0,2.167,NEMAD source IQR >10K — sources disagree by more than a dome width
CuO2-MP-mp-25378.cif,E_nemad_iqr,100.0,4.0,NEMAD source IQR >10K — sources disagree by more than a dome width
Y2Ba4Cu7O15-MP-mp-1228264.cif,E_nemad_iqr,80.0,2.286,NEMAD source IQR >10K — sources disagree by more than a dome width
Mg(B0.9C0.1)2-MP-mp-763.cif,E_nemad_iqr,32.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
La1.7Sr0.3CuO4-MP-mp-1077929.cif,E_nemad_iqr,10.2,2.3,NEMAD source IQR >10K — sources disagree by more than a dome width
La1.95Sr0.05CuO4-MP-mp-1077929.cif,E_nemad_iqr,4.0,2.05,NEMAD source IQR >10K — sources disagree by more than a dome width
SrFe2As2-MP-mp-4488.cif,E_nemad_iqr,30.05,,NEMAD source IQR >10K — sources disagree by more than a dome width
C56B8-MP-mp-1078935.cif,E_nemad_iqr,29.75,,NEMAD source IQR >10K — sources disagree by more than a dome width
In2Se2-MP-mp-20485.cif,E_nemad_iqr,6.5,,NEMAD source IQR >10K — sources disagree by more than a dome width
LaFeAsO0.85F0.15-MP-mp-1281007.cif,E_nemad_iqr,22.2,,NEMAD source IQR >10K — sources disagree by more than a dome width
NaFeAs-MP-mp-22152.cif,E_nemad_iqr,23.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
TlSr2CaCu2O7-MP-mp-20824.cif,E_nemad_iqr,70.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
CaFe2As2-MP-mp-1068300.cif,E_nemad_iqr,26.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
La1.73Sr0.27CuO4-MP-mp-1077929.cif,E_nemad_iqr,13.5,2.27,NEMAD source IQR >10K — sources disagree by more than a dome width
(YBa2Cu3O7)12(PrBa2Cu3O7)4-MP-mp-1228958.cif,E_nemad_iqr,70.0,2.333,NEMAD source IQR >10K — sources disagree by more than a dome width
La1.85Ca0.15CuO4-MP-mp-1077929.cif,E_nemad_iqr,21.5,2.15,NEMAD source IQR >10K — sources disagree by more than a dome width
Sr2YRu0.90Cu0.10O6-MP-mp-14430.cif,E_nemad_iqr,37.5,,NEMAD source IQR >10K — sources disagree by more than a dome width
InAs-MP-mp-20305.cif,E_nemad_iqr,23.7,,NEMAD source IQR >10K — sources disagree by more than a dome width
Ba(Fe0.962Co0.038)2As2-MP-mp-2903350.cif,E_nemad_iqr,12.3,,NEMAD source IQR >10K — sources disagree by more than a dome width
Li0.5BC-MP-mp-1222682.cif,E_nemad_iqr,100.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
SmFeAsO0.88F0.12-MP-mp-20349.cif,E_nemad_iqr,48.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
Sr2CuO3.4-MP-mp-5456.cif,E_nemad_iqr,92.0,2.8,NEMAD source IQR >10K — sources disagree by more than a dome width
Sr2YRu0.85Cu0.15O6-MP-mp-14430.cif,E_nemad_iqr,30.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
B2CN-MP-mp-1079333.cif,E_nemad_iqr,9.4,,NEMAD source IQR >10K — sources disagree by more than a dome width
Sr2YRuO6-MP-mp-14430.cif,E_nemad_iqr,60.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
La1.96Sr0.04CuO4-MP-mp-1077929.cif,E_nemad_iqr,15.0,2.04,NEMAD source IQR >10K — sources disagree by more than a dome width
Nd1.2Ba1.8Cu3O7-MP-mp-22719.cif,E_nemad_iqr,40.0,2.267,NEMAD source IQR >10K — sources disagree by more than a dome width
HgBa2CuO4.08-MP-mp-6562.cif,E_nemad_iqr,95.0,2.16,NEMAD source IQR >10K — sources disagree by more than a dome width
BC3-MP-mp-1239206.cif,E_nemad_iqr,15.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
LaFeAsO0.8F0.2-MP-mp-1281007.cif,E_nemad_iqr,15.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
Tl2Ba2Ca3Cu4O12-MP-mp-556733.cif,E_nemad_iqr,116.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
MnB3-MP-mp-1010.cif,E_nemad_iqr,24.9,,NEMAD source IQR >10K — sources disagree by more than a dome width
La(La0.15Ba0.85)2Cu3O7-MP-mp-622210.cif,E_nemad_iqr,40.0,2.233,NEMAD source IQR >10K — sources disagree by more than a dome width
Ho0.1Y0.9Ba2Cu3O7-MP-mp-20674.cif,E_nemad_iqr,96.14,2.333,NEMAD source IQR >10K — sources disagree by more than a dome width
Y0.65Pr0.35Ba2Cu3O7-MP-mp-1228182.cif,E_nemad_iqr,48.3,2.333,NEMAD source IQR >10K — sources disagree by more than a dome width
NaWO3-MP-mp-19328.cif,E_nemad_iqr,0.8,,NEMAD source IQR >10K — sources disagree by more than a dome width
TmBa2Cu3O6.5-MP-mp-1228146.cif,E_nemad_iqr,50.0,2.0,NEMAD source IQR >10K — sources disagree by more than a dome width
HgBa2CuO4.23-MP-mp-6562.cif,E_nemad_iqr,35.0,2.46,NEMAD source IQR >10K — sources disagree by more than a dome width
Bi2Ca1Sr2Cu2O9-MP-mp-1218884.cif,E_nemad_iqr,85.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
Bi2Sr2Ca0.8Y0.2Cu2O8-MP-mp-1218930.cif,E_nemad_iqr,75.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
CdS-MP-mp-672.cif,E_nemad_iqr,77.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
Ca0.3Sr0.7CuO2-MP-mp-37514.cif,E_nemad_iqr,110.0,2.0,NEMAD source IQR >10K — sources disagree by more than a dome width
BaFe1.70Co0.30As2-MP-mp-2903350.cif,E_nemad_iqr,48.5,,NEMAD source IQR >10K — sources disagree by more than a dome width
La1.92Ce0.08CuO4-MP-mp-1077929.cif,E_nemad_iqr,17.0,1.92,NEMAD source IQR >10K — sources disagree by more than a dome width
Bi2Sr2Ca0.7Y0.3Cu2O8-MP-mp-1218930.cif,E_nemad_iqr,66.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
KTaO3-MP-mp-3614.cif,E_nemad_iqr,26.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
HgBa2CuO4.9-MP-mp-6562.cif,E_nemad_iqr,82.8,3.8,NEMAD source IQR >10K — sources disagree by more than a dome width
Y0.85Pr0.15Ba2Cu3O7-MP-mp-20674.cif,E_nemad_iqr,71.0,2.333,NEMAD source IQR >10K — sources disagree by more than a dome width
NdFeAsO0.75F0.25-MP-mp-1220250.cif,E_nemad_iqr,35.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
Y1Ba2Cu3O8-MP-mp-1214613.cif,E_nemad_iqr,104.5,3.0,NEMAD source IQR >10K — sources disagree by more than a dome width
Pb2Sr2YCu3O8-MP-mp-1198573.cif,E_nemad_iqr,25.0,,NEMAD source IQR >10K — sources disagree by more than a dome width
MnB4-MP-mp-1078253.cif,E_nemad_iqr,23.458,,NEMAD source IQR >10K — sources disagree by more than a dome width
