id,formula,tc,origin,reason
Nd1.11Gd0.74Ce0.15Cu1O4-MP-mp-4860.cif,Nd1.11Gd0.74Ce0.15Cu1O4,15.0,new,structure: 42% of cations foreign to parent Gd2CuO4
Sm1.11Gd0.74Ce0.15Cu1O4-MP-mp-4860.cif,Sm1.11Gd0.74Ce0.15Cu1O4,0.0,new,structure: 42% of cations foreign to parent Gd2CuO4
Gd0.75Nd1.1Ce0.15Cu1O4-MP-mp-4860.cif,Gd0.75Nd1.1Ce0.15Cu1O4,10.1,new,structure: 42% of cations foreign to parent Gd2CuO4
Gd0.9Pr0.95Ce0.15Cu1O4-MP-mp-4181.cif,Gd0.9Pr0.95Ce0.15Cu1O4,0.001,new,structure: 35% of cations foreign to parent Pr2CuO4
Nd0.925Gd0.925Ce0.15Cu1O4-MP-mp-4860.cif,Nd0.925Gd0.925Ce0.15Cu1O4,13.0,new,structure: 36% of cations foreign to parent Gd2CuO4
Pr0.925Gd0.925Ce0.15Cu1O4-MP-mp-4181.cif,Pr0.925Gd0.925Ce0.15Cu1O4,9.5,new,structure: 36% of cations foreign to parent Pr2CuO4
Sm0.925Gd0.925Ce0.15Cu1O4-MP-mp-4860.cif,Sm0.925Gd0.925Ce0.15Cu1O4,0.0,new,structure: 36% of cations foreign to parent Gd2CuO4
Gd0.95La0.9Ce0.15Cu1O4-MP-mp-1077929.cif,Gd0.95La0.9Ce0.15Cu1O4,0.0,new,structure: 37% of cations foreign to parent La2CuO4
Pr0.74Gd1.11Ce0.15Cu1O4-MP-mp-4181.cif,Pr0.74Gd1.11Ce0.15Cu1O4,7.5,new,structure: 42% of cations foreign to parent Pr2CuO4
Gd1.05La0.8Ce0.15Cu1O4-MP-mp-1077929.cif,Gd1.05La0.8Ce0.15Cu1O4,0.0,new,structure: 40% of cations foreign to parent La2CuO4
Gd1.25La0.6Ce0.15Cu1O4-MP-mp-1077929.cif,Gd1.25La0.6Ce0.15Cu1O4,0.0,new,structure: 47% of cations foreign to parent La2CuO4
Pr0.555Gd1.295Ce0.15Cu1O4-MP-mp-4181.cif,Pr0.555Gd1.295Ce0.15Cu1O4,0.0,new,structure: 48% of cations foreign to parent Pr2CuO4
Gd1.3Pr0.55Ce0.15Cu1O4-MP-mp-4181.cif,Gd1.3Pr0.55Ce0.15Cu1O4,0.0,new,structure: 48% of cations foreign to parent Pr2CuO4
Gd1.35La0.5Ce0.15Cu1O4-MP-mp-1077929.cif,Gd1.35La0.5Ce0.15Cu1O4,0.0,new,structure: 50% of cations foreign to parent La2CuO4
Sm1.35Gd0.5Ce0.15Cu1O3.97-MP-mp-4860.cif,Sm1.35Gd0.5Ce0.15Cu1O3.97,18.8,new,structure: 50% of cations foreign to parent Gd2CuO4
Sm1.25Gd0.6Ce0.15Cu1O3.97-MP-mp-4860.cif,Sm1.25Gd0.6Ce0.15Cu1O3.97,16.8,new,structure: 47% of cations foreign to parent Gd2CuO4
Sm1.05Gd0.8Ce0.15Cu1O3.97-MP-mp-4860.cif,Sm1.05Gd0.8Ce0.15Cu1O3.97,15.0,new,structure: 40% of cations foreign to parent Gd2CuO4
Sm1.15Gd0.7Ce0.15Cu1O3.97-MP-mp-4860.cif,Sm1.15Gd0.7Ce0.15Cu1O3.97,16.8,new,structure: 43% of cations foreign to parent Gd2CuO4
Ru0.5Nb0.5Sr2Gd1.4Ce0.6Cu2O9.64-MP-mp-1218633.cif,Ru0.5Nb0.5Sr2Gd1.4Ce0.6Cu2O9.64,30.0,new,structure: 36% of cations foreign to parent Sr3Nb2CuO9
La0.55Pr1.3Sr0.15Cu1O4-MP-mp-1218202.cif,La0.55Pr1.3Sr0.15Cu1O4,29.6,new,structure: 43% of cations foreign to parent SrLaCuO4
La0.65Pr1.2Sr0.15Cu1O4-MP-mp-1218202.cif,La0.65Pr1.2Sr0.15Cu1O4,31.4,new,structure: 40% of cations foreign to parent SrLaCuO4
Pd0.55Cu0.45H0.7-MP-mp-1184548.cif,Pd0.55Cu0.45H0.7,16.6,new,structure: 45% of cations foreign to parent HPd
Yb1S1Eu1S1-MP-mp-1103738.cif,Yb1S1Eu1S1,0.0,new,structure: 50% of cations foreign to parent Eu3S4
H0.3Li1Nb1O2-MP-mp-23856.cif,H0.3Li1Nb1O2,5.5,new,structure: 50% of cations foreign to parent LiHO
H0.5Li1Nb1O2-MP-mp-23856.cif,H0.5Li1Nb1O2,5.5,new,structure: 50% of cations foreign to parent LiHO
Li1Hf1N1I1-MP-mp-567441.cif,Li1Hf1N1I1,22.2,new,structure: 50% of cations foreign to parent HfIN
Li1Zr1N1I1-MP-mp-23052.cif,Li1Zr1N1I1,14.2,new,structure: 50% of cations foreign to parent ZrIN
Ir0.37Rh0.57Se2-MP-mp-1407.cif,Ir0.37Rh0.57Se2,9.09,new,structure: 39% of cations foreign to parent Rh3Se8
Ir0.44Rh0.5Se2-MP-mp-1407.cif,Ir0.44Rh0.5Se2,9.24,new,structure: 47% of cations foreign to parent Rh3Se8
Ir0.5Pt0.5Te2-MP-mp-1217357.cif,Ir0.5Pt0.5Te2,3.0,new,structure: 50% of cations foreign to parent Te8Ir3
Ir0.53Rh0.42Te2-MP-mp-1217357.cif,Ir0.53Rh0.42Te2,3.2,new,structure: 44% of cations foreign to parent Te8Ir3
Ir0.58Rh0.37Te2-MP-mp-1217357.cif,Ir0.58Rh0.37Te2,3.76,new,structure: 39% of cations foreign to parent Te8Ir3
La1.14Nb2Se5.14-MP-mp-2207.cif,La1.14Nb2Se5.14,5.3,new,structure: 36% of cations foreign to parent NbSe2
Na0.3Sb1Ta2S5-MP-mp-10014.cif,Na0.3Sb1Ta2S5,3.5,new,structure: 39% of cations foreign to parent TaS2
Nb1Se3Sn1-MP-mp-2207.cif,Nb1Se3Sn1,3.055,new,structure: 50% of cations foreign to parent NbSe2
Re1Ti1O5-MP-mp-1016092.cif,Re1Ti1O5,5.71,new,structure: 50% of cations foreign to parent Re2O7
Sr1Pt2.4Pd0.6P1-MP-mp-3385.cif,Sr1Pt2.4Pd0.6P1,6.57,new,structure: 48% of cations foreign to parent Sr(PPd)2
Sr1Pt2.1Pd0.9P1-MP-mp-3385.cif,Sr1Pt2.1Pd0.9P1,5.78,new,structure: 42% of cations foreign to parent Sr(PPd)2
Sr1Pt1.8Pd1.2P1-MP-mp-3385.cif,Sr1Pt1.8Pd1.2P1,4.82,new,structure: 36% of cations foreign to parent Sr(PPd)2
Ru0.7Rh0.3P1-MP-mp-1186926.cif,Ru0.7Rh0.3P1,1.13,new,structure: 50% of cations foreign to parent Ru3Rh
Ru0.55Rh0.45P1-MP-mp-1186926.cif,Ru0.55Rh0.45P1,3.6,new,structure: 50% of cations foreign to parent Ru3Rh
Ru0.4Rh0.6P1-MP-mp-1186926.cif,Ru0.4Rh0.6P1,1.27,new,structure: 50% of cations foreign to parent Ru3Rh
Rh0.6Ru0.4Se2-MP-mp-1192175.cif,Rh0.6Ru0.4Se2,0.18,new,structure: 40% of cations foreign to parent RhSe2
Sb1.16S5.16Ta2-MP-mp-10014.cif,Sb1.16S5.16Ta2,3.0,new,structure: 37% of cations foreign to parent TaS2
Sn1.16Ta2S5.16-MP-mp-10014.cif,Sn1.16Ta2S5.16,0.0,new,structure: 37% of cations foreign to parent TaS2
Y1Sr1.85Ba0.15Cu2.5B0.5O7-MP-icsd-63321.cif,Y1Sr1.85Ba0.15Cu2.5B0.5O7,0.0,new,structure: 39% of cations foreign to parent Ba2Y1Cu3O7.13
Y1Sr1.7Ba0.3Cu2.5B0.5O7-MP-icsd-63321.cif,Y1Sr1.7Ba0.3Cu2.5B0.5O7,0.0,new,structure: 37% of cations foreign to parent Ba2Y1Cu3O7.13
Pb0.5Sr1.8Ba0.2Y0.85Ca0.15Cu2.5O6.98-MP-icsd-63321.cif,Pb0.5Sr1.8Ba0.2Y0.85Ca0.15Cu2.5O6.98,25.0,new,structure: 41% of cations foreign to parent Ba2Y1Cu3O7.13
Pb0.5Sr1.8Ba0.2Y1Cu2.5O6.98-MP-icsd-63321.cif,Pb0.5Sr1.8Ba0.2Y1Cu2.5O6.98,0.0,new,structure: 38% of cations foreign to parent Ba2Y1Cu3O7.13
Tl1Ba0.6Sr0.4La1Cu1O5.16-MP-icsd-41494.cif,Tl1Ba0.6Sr0.4La1Cu1O5.16,22.0,new,structure: 50% of cations foreign to parent La8Cu4O16.232
Tl1Ba1La1Cu1O5.17-MP-icsd-41494.cif,Tl1Ba1La1Cu1O5.17,0.0,new,structure: 50% of cations foreign to parent La8Cu4O16.232
Ag2Pd3S1-MP-mp-7819.cif,Ag2Pd3S1,1.13,new,structure: 40% of cations foreign to parent Pd4S
Ca8Mg1.5Ti4.5Fe2As2O9.5-MP-mp-1032929.cif,Ca8Mg1.5Ti4.5Fe2As2O9.5,40.0,new,structure: 36% of cations foreign to parent CaMg6FeO8
Au16.7Pd16.6Te66.7-MP-mp-1217358.cif,Au16.7Pd16.6Te66.7,4.6,new,structure: 50% of cations foreign to parent Te3Au
Eu1Ba1Cu1B1O5-MP-mp-772788.cif,Eu1Ba1Cu1B1O5,0.0,new,structure: 50% of cations foreign to parent Ba2Cu2O5
Pb0.5Cd0.5Sr1.9Ba0.1Ca0.5Y0.5Cu2O7-MP-mp-1228878.cif,Pb0.5Cd0.5Sr1.9Ba0.1Ca0.5Y0.5Cu2O7,0.0,new,structure: 48% of cations foreign to parent Ba10CaY4(Cu3O7)5
Pb0.5Cd0.5Sr1.8Ba0.2Ca0.5Y0.5Cu2O7-MP-mp-1228878.cif,Pb0.5Cd0.5Sr1.8Ba0.2Ca0.5Y0.5Cu2O7,0.0,new,structure: 47% of cations foreign to parent Ba10CaY4(Cu3O7)5
Pb0.5Cd0.5Sr1.7Ba0.3Ca0.5Y0.5Cu2O7-MP-mp-1228878.cif,Pb0.5Cd0.5Sr1.7Ba0.3Ca0.5Y0.5Cu2O7,0.0,new,structure: 45% of cations foreign to parent Ba10CaY4(Cu3O7)5
Pb0.5Cd0.5Sr1.6Ba0.4Ca0.5Y0.5Cu2O7-MP-mp-1228878.cif,Pb0.5Cd0.5Sr1.6Ba0.4Ca0.5Y0.5Cu2O7,36.0,new,structure: 43% of cations foreign to parent Ba10CaY4(Cu3O7)5
Pb0.5Cd0.5Sr1.5Ba0.5Ca0.5Y0.5Cu2O7-MP-mp-1228878.cif,Pb0.5Cd0.5Sr1.5Ba0.5Ca0.5Y0.5Cu2O7,49.0,new,structure: 42% of cations foreign to parent Ba10CaY4(Cu3O7)5
Ti2Ba2Ca1Gd2.25Ce0.75Cu2O14-MP-mp-1224741.cif,Ti2Ba2Ca1Gd2.25Ce0.75Cu2O14,0.0,new,structure: 38% of cations foreign to parent Gd2TiCuO6
Nd2Ba2Ca1Ce1Ti1.9Cu2.1O14-MP-mp-1220432.cif,Nd2Ba2Ca1Ce1Ti1.9Cu2.1O14,0.0,new,structure: 40% of cations foreign to parent Nd2TiCuO6
Tl0.5Ba2Ca0.3Be1.7Cu3.5O7.685-MP-mp-997042.cif,Tl0.5Ba2Ca0.3Be1.7Cu3.5O7.685,115.0,new,structure: 50% of cations foreign to parent TlCuO2
La6.4Ca1.6Cu6.5Ni1.5O20-MP-mp-772813.cif,La6.4Ca1.6Cu6.5Ni1.5O20,0.0,new,structure: 49% of cations foreign to parent Ca2Cu2O5
La6.4Ca1.6Cu7.5Ni0.5O20-MP-mp-772813.cif,La6.4Ca1.6Cu7.5Ni0.5O20,0.0,new,structure: 43% of cations foreign to parent Ca2Cu2O5
La6Ca2Cu6Ni2O20-MP-mp-772813.cif,La6Ca2Cu6Ni2O20,0.0,new,structure: 50% of cations foreign to parent Ca2Cu2O5
La5.8Ca2.2Cu6Ni2O20-MP-mp-772813.cif,La5.8Ca2.2Cu6Ni2O20,0.0,new,structure: 49% of cations foreign to parent Ca2Cu2O5
Ga1Sr2Ca3Cu4O11.5-MP-mp-21129.cif,Ga1Sr2Ca3Cu4O11.5,63.0,new,structure: 40% of cations foreign to parent Sr2Cu2O5
Gd1.4Ce0.6Sr2Cu2Ti1O10-MP-mp-1224741.cif,Gd1.4Ce0.6Sr2Cu2Ti1O10,11.0,new,structure: 37% of cations foreign to parent Gd2TiCuO6
Na0.75Zr1N1Cl1-MP-mp-277.cif,Na0.75Zr1N1Cl1,14.3,new,structure: 43% of cations foreign to parent Zr3N4
Na0.66Zr1N1Cl1-MP-mp-277.cif,Na0.66Zr1N1Cl1,14.5,new,structure: 40% of cations foreign to parent Zr3N4
Na0.59Zr1N1Cl1-MP-mp-277.cif,Na0.59Zr1N1Cl1,15.0,new,structure: 37% of cations foreign to parent Zr3N4
Pb2Sr2Cm1Cu3O8-MP-mp-3255.cif,Pb2Sr2Cm1Cu3O8,0.0,new,structure: 38% of cations foreign to parent SrCu2O3
La1.25Sr0.75Cu0.4Co0.6O4-MP-icsd-41494.cif,La1.25Sr0.75Cu0.4Co0.6O4,0.0,new,structure: 45% of cations foreign to parent La8Cu4O16.232
Ru1Sr2Er1Cu2O8-MP-mp-753901.cif,Ru1Sr2Er1Cu2O8,0.0,new,structure: 50% of cations foreign to parent Er2CuO4
Ru0.9Sr2Er1Cu2O7.8-MP-mp-753901.cif,Ru0.9Sr2Er1Cu2O7.8,23.0,new,structure: 49% of cations foreign to parent Er2CuO4
Ru0.9Sr2Ho1Cu2O7.8-MP-mp-754263.cif,Ru0.9Sr2Ho1Cu2O7.8,0.0,new,structure: 49% of cations foreign to parent Ho2CuO4
Fe1Sr2Gd1Cu2O7.58-MP-mp-4860.cif,Fe1Sr2Gd1Cu2O7.58,36.5,new,structure: 50% of cations foreign to parent Gd2CuO4
Ir0.455Nb0.455O0.09-MP-mp-2311.cif,Ir0.455Nb0.455O0.09,9.2,new,structure: 50% of cations foreign to parent NbO
Ir0.4Nb0.55O0.05-MP-mp-2311.cif,Ir0.4Nb0.55O0.05,10.5,new,structure: 42% of cations foreign to parent NbO
Ag7B4F4O8-MP-mp-2284.cif,Ag7B4F4O8,0.15,new,structure: 36% of cations foreign to parent AgF2
Eu2.17Ce0.5Sr1.33Cu2.25Al0.75O9.04-MP-mp-1218202.cif,Eu2.17Ce0.5Sr1.33Cu2.25Al0.75O9.04,0.0,new,structure: 49% of cations foreign to parent SrLaCuO4
Ca4Al2Fe2As2O6-MP-mp-1304288.cif,Ca4Al2Fe2As2O6,28.2,new,structure: 40% of cations foreign to parent Ca2Fe3O8
Ca4Al2Fe2P2O6-MP-mp-1304288.cif,Ca4Al2Fe2P2O6,17.1,new,structure: 40% of cations foreign to parent Ca2Fe3O8
La1.9Y0.1Ba2Ca0.2Cu4.2O11.72-MP-mp-1044464.cif,La1.9Y0.1Ba2Ca0.2Cu4.2O11.72,0.0,new,structure: 48% of cations foreign to parent CaPr(CuO3)2
Nd0.6Sm0.4F0.3Bi1S2O0.5-MP-mp-1223105.cif,Nd0.6Sm0.4F0.3Bi1S2O0.5,5.52,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd0.8Sm0.2F0.3Bi1S2O0.5-MP-mp-1223105.cif,Nd0.8Sm0.2F0.3Bi1S2O0.5,5.2,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd1Bi1S2F0.1O0.9-MP-mp-1223105.cif,Nd1Bi1S2F0.1O0.9,4.24,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd1Bi1S2F0.29O0.71-MP-mp-1223105.cif,Nd1Bi1S2F0.29O0.71,5.2,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd0.2Sm0.8Bi1S2F0.3O0.7-MP-mp-1223105.cif,Nd0.2Sm0.8Bi1S2F0.3O0.7,5.58,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd0.4Sm0.6F0.3Bi1S2O0.7-MP-mp-1223105.cif,Nd0.4Sm0.6F0.3Bi1S2O0.7,5.02,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd0.6Sm0.4F0.3Bi1S2O0.7-MP-mp-1223105.cif,Nd0.6Sm0.4F0.3Bi1S2O0.7,5.2,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd0.8Sm0.2F0.3Bi1S2O0.7-MP-mp-1223105.cif,Nd0.8Sm0.2F0.3Bi1S2O0.7,4.8225,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd1Bi1S2F0.3O0.7-MP-mp-1223105.cif,Nd1Bi1S2F0.3O0.7,4.375,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd1Bi1S2F0.4O0.6-MP-mp-1223105.cif,Nd1Bi1S2F0.4O0.6,5.25,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
Nd1Bi1S2F0.6O0.4-MP-mp-1223105.cif,Nd1Bi1S2F0.6O0.4,4.35,new,structure: 50% of cations foreign to parent La4Bi4S8O3F
