Material_Name,Chemical_Composition,Material_Class,Film_Thickness,Substrate,Material_Type,Superconductor_Type,Superconducting_Transition_Temperature,Pressure,Crystal_Structure,Lattice_Structure,Space_Group,"Lattice_Constant(a)","Lattice_Constant(b)","Lattice_Constant(c)",Lower_Critical_Field,Upper_Critical_Field,Experimental,DOI
"(Ba,K)Fe2As2","(Ba,K)Fe2As2",Bulk,,,SC,Iron-based,38 K,,Tetragonal,Square lattice,,,,,,,FALSE,10.1016/j.physc.2009.11.017
"(Ba,Rb)BiO3","(Ba,Rb)BiO3",,,,SC,High-Tc,35 K,,,,,,,,,,,10.1103/PhysRevB.44.7098
"(Ba,Sr)1-xKxFe2As2","(Ba,Sr)1-xKxFe2As2",,,,SC,iron-based,38 K,,,ThCr2Si2-type,,,,,,,FALSE,10.1103/PhysRevB.80.024506
(Ba0.4Sr1.6)Cu1.1O2.2(CO3)0.9,(Ba0.4Sr1.6)Cu1.1O2.2(CO3)0.9,Bulk,,,SC,Cuprate,40 K,,,,,,,,,,FALSE,10.1016/S0921-4534(98)00218-4
BKBO,(Ba0.54K0.46)4Bi4O12,Bulk,,,SC,Type-II,30 K,0 GPa,Cubic,Perovskite,Im3m,8.4175 Å,8.4175 Å,8.4175 Å,,,FALSE,10.1016/j.physc.2020.1353669
(Ba0.55K0.45)Fe2As2,(Ba0.55K0.45)Fe2As2,Bulk,,,SC,Iron-based,30 K,0-20.4 kbar,Tetragonal,ThCr2Si2-type,I4/mmm,,,,,Extremely high,TRUE,10.1016/j.physb.2009.07.117
(Ba0.56Sr0.44)2Cu1.1O2.2+δ(CO3)0.9,(Ba0.56Sr0.44)2Cu1.1O2.2+δ(CO3)0.9,Bulk,,,SC,High-Tc/cuprate,35 K,,,,,,,,,,True,10.1103/PhysRevB.54.7500
(Ba0.56Sr0.44)2Cu1.1O2.2+δ(CO3)0.9,(Ba0.56Sr0.44)2Cu1.1O2.2+δ(CO3)0.9,,,,SC,High-Tc/cuprate,,,,,,,,,,,,10.1103/PhysRevB.56.R14275
(Ba0.5K0.5)Fe2As2,(Ba0.5K0.5)Fe2As2,Microbridge,,,SC,iron-based,,,Tetragonal,,,,,,,,FALSE,10.1103/PhysRevB.110.104501
(Ba0.67Na0.33)Ti2Sb2O,(Ba0.67Na0.33)Ti2Sb2O,Bulk,,,SC,,5.5 K,,,,,,,,,,FALSE,10.1103/PhysRevB.88.214506
(Ba0.6K0.13Cs0.27)BiO3,(Ba0.6K0.13Cs0.27)BiO3,Bulk,,,SC,Type-II,9 K,,,,,,,,,,FALSE,10.1016/S0038-1098(98)00125-2
Barium Potassium Iron Arsenide,(Ba0.6K0.4)Fe2As2,Bulk,,,SC,iron-based,37 K,,,,,,,,,,TRUE,10.1103/PhysRevB.84.060514
Wire-TAR,(Ba0.6K0.4)Fe2As2,Bulk,,,SC,Iron-based,37.2 K,150 MPa,,,,,,,,144 T,TRUE,10.1016/j.physc.2024.1354520
Wire-GR1,(Ba0.6K0.4)Fe2As2,Bulk,,,SC,Iron-based,37.0 K,150 MPa,,,,,,,,,TRUE,10.1016/j.physc.2024.1354520
Wire-GR2,(Ba0.6K0.4)Fe2As2,Bulk,,,SC,Iron-based,37.0 K,150 MPa,,,,,,,,,TRUE,10.1016/j.physc.2024.1354520
"(Ba,K)Fe2As2",(Ba0.6K0.4)Fe2As2,Bulk,,,SC,Iron-based,38 K,,Tetragonal,,I4/mmm,,,,,,TRUE,10.1016/j.physb.2009.07.110
(Ba0.6La0.4)Y(Cu0.7Fe0.3)2O5+δ,(Ba0.6La0.4)Y(Cu0.7Fe0.3)2O5+δ,Bulk,,,NSC,,,5 GPa,,double perovskite,,3.878 Å,,7.624 Å,,,True,10.1103/PhysRevB.59.1377
(Ba0.82K0.18)(Bi0.53Pb0.47)O3,(Ba0.82K0.18)(Bi0.53Pb0.47)O3,Bulk,,,SC,Type-II,22.8 K,,Cubic,Perovskite,Pm-3m,4.28877 Å,4.28877 Å,4.28877 Å,,1.9 T,TRUE,10.1016/j.jallcom.2014.12.274
BKBPO,(Ba0.82K0.18)(Bi0.53Pb0.47)O3,Bulk,,,SC,High-Tc,22.8 K,0 GPa,Cubic,Perovskite,Pm-3m,4.28877,4.28877,4.28877,,,FALSE,10.1016/j.mtcomm.2022.104302
(Ba0.8La0.2)Y(Cu0.6Fe0.4)2O5+δ,(Ba0.8La0.2)Y(Cu0.6Fe0.4)2O5+δ,Bulk,,,NSC,,,5 GPa,,double perovskite,,3.867 Å,,7.649 Å,,,True,10.1103/PhysRevB.59.1377
(Ba0.966K0.034)Fe2As2,(Ba0.966K0.034)Fe2As2,Bulk,,,SC,iron-based,38 K,,,,,,,,,,FALSE,10.1103/PhysRevB.85.014510
(Ba1-xKx)Fe2As2,(Ba1-xKx)Fe2As2,,,,SC,iron-based,38 K,,,,,,,,,,FALSE,10.1103/PhysRevB.85.180510
(Ba1-xRbx)Fe2As2,(Ba1-xRbx)Fe2As2,Bulk,,,SC,iron-based,,,,,,,,,,,FALSE,10.1103/PhysRevMaterials.8.084806
(BaCuO2)2/(CaCuO2)2,(BaCuO2)2/(CaCuO2)2,Superlattice,,,SC,High-Tc,60,,,,,,,,,,TRUE,10.1016/S0921-4534(99)00630-9
(BaFe12O19)x(Bi1.6Pb0.4)Sr2Ca2Cu3O10-δ,(BaFe12O19)x(Bi1.6Pb0.4)Sr2Ca2Cu3O10-δ,Bulk,,,SC,High-Tc,106.1 K to 110.2 K,,Tetragonal,,P4/mmm,5.372 Å,,37.016 Å,,,TRUE,10.1016/j.cplett.2020.137880
(BaK)Fe₂As₂,(BaK)Fe₂As₂,Bulk,,,SC,iron-based,38 K,,,,,,,,,,,10.1103/PhysRevB.78.134523
kappa-(BEDT-TTF)2B(CN)4,(BEDT-TTF)2(B(CN)4),Bulk,,,NSC,,NSC,,,kappa-type layered organic,,,,,,,TRUE,10.1103/PhysRevB.100.115158
kappa-(BEDT-TTF)2CF3SO3,(BEDT-TTF)2(CF3SO3),Bulk,,,SC,Organic,4.8 K,1.3 GPa,,kappa-type layered organic,,,,,,,TRUE,10.1103/PhysRevB.100.115158
"(Bi,Pb)2(Sr,La)2CuO6+δ","(Bi,Pb)2(Sr,La)2CuO6+δ",Bulk,,,SC,cuprate/High-Tc,,,,,,,,,,,,10.1103/PhysRevB.102.014505
"(Bi,Pb)2(Sr,La)2CuO6+δ (Bi2201)","(Bi,Pb)2(Sr,La)2CuO6+δ",Bulk,,,SC,High-Tc/cuprate,,,,,,,,,,,FALSE,10.1103/PhysRevLett.113.177005
"Optimally Doped (Bi,Pb)2(Sr,La)2CuO6+δ","(Bi,Pb)2(Sr,La)2CuO6+δ",Bulk,,,SC,High-Tc/cuprate,35 K,,,,,,,,,,TRUE,10.1103/PhysRevLett.98.267004
"(Bi,Pb)2(Sr,La)2CuO6+δ","(Bi,Pb)2(Sr,La)2CuO6+δ",Bulk,,,SC,High-Tc/Cuprate,31 K,,,,,,,,,,TRUE,10.1016/j.physc.2007.04.227
"(Bi,Pb)-2223","(Bi,Pb)2.12Sr2Ca1.94Cu3O10.13",Bulk,,,SC,High-Tc,111K,10MPa,Orthorhombic,Pseudo-tetragonal,A 2 aa,5.395,5.413,37.042,530 Oe,,TRUE,10.1016/j.cap.2007.04.014
"(Bi,Pb)2Ca2Sr2Cu3O10+δ","(Bi,Pb)2Ca2Sr2Cu3O10+δ",,,,SC,High-Tc/cuprate,,,,,,,,,,,,10.1103/PhysRevB.50.16644
La-Bi2201 (OPT31K),"(Bi,Pb)2Sr1.6La0.4CuO6+δ",Bulk,,,SC,cuprate,31 K,,,,,,,,,,TRUE,10.1103/PhysRevB.74.054505
"(Bi,Pb)2Sr2(Ca,Er)1Cu2O8","(Bi,Pb)2Sr2(Ca,Er)Cu2O8",Bulk,,,SC,High-Tc/cuprate,70 K,,,layered,,,,,,,True,10.1103/PhysRevB.53.R14753
"(Bi,Pb)2Sr2Ca(1-x)TbxCu2O8 (x=NA)","(Bi,Pb)2Sr2Ca(1-x)TbxCu2O8",Bulk,,,SC,High-Tc/cuprate,,,,,,,,,,,TRUE,10.1103/PhysRevLett.99.237002
"(Bi, Pb)2Sr2Ca2Cu3O10","(Bi, Pb)2Sr2Ca2Cu3O10",Thin Film,,,SC,High-Tc,110 K,,,,,,,,,,TRUE,10.1016/0921-4534(90)90027-C
"(Bi,Pb)2Sr2Ca2Cu3O10","(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,Ag,SC,High-Tc/cuprate,108 K,,,,,,,,,,True,10.1103/PhysRevB.54.10210
Bismuth Lead Strontium Calcium Copper Oxide,"(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,cuprate,110 K,,,layered cuprate,,,,,,,,10.1103/PhysRevB.47.11615
"(Bi,Pb)2Sr2Ca2Cu3O10","(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,110 K,,,layered,,,,,,,True,10.1103/PhysRevB.41.7197
BSCCO 2223 phase,"(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,110 K,,,three-layered,,,,,,,TRUE,Handbook of SC
"(Bi, Pb)-2223","(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,90-110 K,,,,,,,,,,TRUE,10.1016/S0921-4526(96)00658-8
Bismuth Strontium Calcium Copper Oxide,"(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,110 K,,,,,,,,,,FALSE,10.1016/j.cryogenics.2006.02.003
"(Bi,Pb)2Sr2Ca2Cu3O10","(Bi,Pb)2Sr2Ca2Cu3O10",Thin Film,,,SC,High-Tc,110 K,,,,,,,,,,TRUE,10.1016/S0921-4534(99)00247-6
BSCCO,"(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,110,,,,,,,,,184000,TRUE,10.1016/j.matchemphys.2003.11.012
Bi-2223/Ag,"(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,105-110 K,,,,,,,,,23.5 T,TRUE,10.1016/j.physc.2021.1353825
"(Bi,Pb)2Sr2Ca2Cu3O10","(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,110-120 K,,,,,,,,,,FALSE,10.1016/j.physc.2007.03.107
Bi-2223/Ag,"(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,77 K,,,,,,,,,,TRUE,10.1016/S0921-4534(01)00475-0
"(Bi,Pb)-2223","(Bi,Pb)2Sr2Ca2Cu3O10",Bulk,,,SC,High-Tc,105 K,,,,,,,,,,,10.1016/j.physleta.2004.09.077
"(Bi,Pb)2Sr2Ca2Cu3O10+x","(Bi,Pb)2Sr2Ca2Cu3O10+x",Bulk,,,SC,Type-II,77 K,,,,,,,,,,TRUE,10.1016/0921-4534(96)00041-X
"(Bi,Pb)2Sr2Ca2Cu3O10+δ","(Bi,Pb)2Sr2Ca2Cu3O10+δ",Bulk,,,SC,High-Tc/cuprate,,,,,,,,,,,,10.1103/PhysRevB.63.064524
"(Bi,Pb)-2223","(Bi,Pb)2Sr2Ca2Cu3O10+δ",Polycrystalline,,,SC,High-Tc/cuprate,,,,,,,,,,,FALSE,10.1103/PhysRevB.81.014516
Bi-2223+SiC,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,107.4,,,,,5.423,,37.074,,,TRUE,10.1016/j.ceramint.2022.05.271
Bi-2223 tape + SiC,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,109.0,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223+TiO2,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,106.4,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223+TiO2,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,108.8,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223+SiC,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,108.7,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223+Cr2O3,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,111.0,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223+Fe3O4,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,105.5,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223+Dy2O3,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,109.5,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223+Y2O3,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,107.6,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223+SnO2,"(Bi, Pb)2Sr2Ca2Cu3O10+θ",Bulk,,,SC,High-Tc,111.9,,,,,,,,,,FALSE,10.1016/j.ceramint.2022.05.271
Bi-2223,"(Bi,Pb)2Sr2Ca2Cu3O10-x",Bulk,,,SC,High-Tc/cuprate,,,,,,,,,,>100 T,FALSE,10.1103/PhysRevMaterials.2.084801
"(Bi,Pb)2Sr2Ca2Cu3O10-δ","(Bi,Pb)2Sr2Ca2Cu3O10-δ",Bulk,,,SC,High-Tc/cuprate,107 K,,,triple-layered,,,,,,,,10.1103/PhysRevB.47.11529
Bi2223,"(Bi,Pb)2Sr2Ca2Cu3Ox",Bulk,,,SC,High-Tc,,,,,,,,,,,True,10.1103/PhysRevB.61.9176
"(Bi,Pb)2Sr2Ca2Cu3Ox thin film","(Bi,Pb)2Sr2Ca2Cu3Ox",Thin Film,74 nm,MgO,SC,High-Tc/cuprate,105 K,,,layered,,,,3.7 Å,,,True,10.1103/PhysRevB.51.9180
"(Bi,Pb)2Sr2Ca2Cu3Oy","(Bi,Pb)2Sr2Ca2Cu3Oy",Bulk,,,SC,High-Tc,,,,,,,,,,,,10.1103/PhysRevB.45.5641
"(Bi, Pb)2Sr2CaCu2O8","(Bi, Pb)2Sr2CaCu2O8",Bulk,,,SC,Type-II,91 K,,,,,,,,,≈89 T (c),TRUE,Handbook of SC
Lead-doped Bismuth Strontium Calcium Copper Oxide,"(Bi,Pb)2Sr2CaCu2O8",Bulk,,,SC,High-Tc/cuprate,82 K,,,,,,,,,,,10.1103/PhysRevB.57.14444
"(Bi,Pb)2Sr2CaCu2O8","(Bi,Pb)2Sr2CaCu2O8",Bulk,,,SC,High-Tc,70-85 K,,,,,,,,10-30 mT,,TRUE,10.1016/j.jnoncrysol.2010.05.032
"(Bi,Pb)2Sr2CaCu2O8+δ","(Bi,Pb)2Sr2CaCu2O8+δ",Bulk,,,SC,High-Tc/cuprate,72 K,,Tetragonal,Layered perovskite,,,,,,,TRUE,10.1103/PhysRevB.77.024520
"(Bi,Pb)2Sr2CaCu2O8+δ","(Bi,Pb)2Sr2CaCu2O8+δ",Bulk,,,SC,High-Tc/cuprate,71 K,,,,,,,,,,TRUE,10.1103/PhysRevLett.99.237002
"(Bi,Pb)2Sr2CaCu2Ox with Pb substitution","(Bi,Pb)2Sr2CaCu2Ox",Bulk,,,SC,High-Tc/cuprate,106 K,,,,,,,,,,True,10.1103/PhysRevB.48.1254
"(Bi,Pb)2Sr2CaCu2Ox","(Bi,Pb)2Sr2CaCu2Ox",Bulk,,,SC,High-Tc,"8.9 K, 86 K",,,,,,,,,,True,10.1103/PhysRevB.42.301
Pb-Bi2201,"(Bi,Pb)2Sr2CuO6",Bulk,,,SC,High-Tc/Cuprate,21 K,,,,,,,,,,TRUE,10.1016/j.physc.2010.01.001
Overdoped Bi2201 (OD11K),"(Bi,Pb)2Sr2CuO6+δ",Bulk,,,SC,High-Tc/cuprate,11 K,,Orthorhombic,Layered perovskite,,5.4,5.308,24.56,,,TRUE,10.1103/PhysRevMaterials.8.024804
Pb-Bi2201 (HUD0K),"(Bi,Pb)2Sr2CuO6+δ",Bulk,,,NSC,cuprate,0 K,,,,,,,,,,TRUE,10.1103/PhysRevB.74.054505
Pb-Bi2201 (OPT22K),"(Bi,Pb)2Sr2CuO6+δ",Bulk,,,SC,cuprate,22 K,,,,,,,,,,TRUE,10.1103/PhysRevB.74.054505
Pb-Bi2201 (HOD0K),"(Bi,Pb)2Sr2CuO6+δ",Bulk,,,NSC,cuprate,0 K,,,,,,,,,,TRUE,10.1103/PhysRevB.74.054505
"(Bi,Pb)₂Sr₂(Y,Ca)Cu₂O₈","(Bi,Pb)₂Sr₂(Y,Ca)Cu₂O₈",Bulk,,,SC,cuprate,,,,perovskite,,,,,,,TRUE,Handbook of SC
"(Bi, Pb)₂Sr₂CaCu₂O₈","(Bi, Pb)₂Sr₂CaCu₂O₈",Bulk,,,SC,High-Tc,91 K,,,,,,,,,,TRUE,Handbook of SC
"(Bi,Pb)₂Sr₂CaCu₂O₈","(Bi,Pb)₂Sr₂CaCu₂O₈",Bulk,,,SC,High-Tc,91 K,,,,,,,,,,TRUE,Zhang (1992)
"(Bi,Pb)₂Sr₂CaCu₂O₈","(Bi,Pb)₂Sr₂CaCu₂O₈",Bulk,,,SC,High-Tc,91 K,,,,,,,,,,TRUE,Handbook of SC
"Ag-sheathed (Bi,Pb)₂Sr₂Ca₂Cu₃O₁₀₊y tape","(Bi,Pb)₂Sr₂Ca₂Cu₃O₁₀₊y",Bulk,26 μm,Ag sheathing,SC,High-Tc/cuprate,,,,,,,,,,,True,10.1103/PhysRevB.49.15312
"(Bi,Pb)₂Sr₂Ca₂Cu₃O₁₀₋δ","(Bi,Pb)₂Sr₂Ca₂Cu₃O₁₀₋δ",Bulk,,,SC,High-Tc,103 K,,,,,,,,,,TRUE,Handbook of SC
"(Bi,Pb)₂Sr₂Ca₂Cu₃Oₓ","(Bi,Pb)₂Sr₂Ca₂Cu₃Oₓ",Bulk,,,SC,High-Tc/cuprate,,,,,,,,,,,,10.1103/PhysRevB.57.8622
Bi-1212,"(Bi, Pb, Cu) Sr2 (Y, Ca) Cu2O7-z",Bulk,,,SC,High-Tc,90 K,,,,,,,,,,,10.1016/0921-4534(93)90367-Y
(Bi0.07Mo0.26Cu0.67)Sr2YCu2O7.22,(Bi0.07Mo0.26Cu0.67)Sr2YCu2O7.22,Bulk,,,SC,High-Tc,30 K,,,,,,,,,,FALSE,10.1016/S0921-4534(02)02239-6
(Bi0.08K0.92)BiO3,(Bi0.08K0.92)BiO3,Bulk,,,SC,High-Tc,9 K,,Cubic,,Pm3m,4.22236 Å,,,,,TRUE,10.1016/S0921-4534(02)01273-X
(Bi0.33Cd0.67)Sr2YCu2O7-z,(Bi0.33Cd0.67)Sr2YCu2O7-z,Bulk,,,SC,High-Tc,40 K,,,,,,,,,,FALSE,10.1016/S0921-4534(02)02239-6
(Bi0.33Hg0.67)Sr2(Ca0.67Y0.33)Cu2O7,(Bi0.33Hg0.67)Sr2(Ca0.67Y0.33)Cu2O7,Bulk,,,SC,High-Tc,100 K,,,,,,,,,,FALSE,10.1016/S0921-4534(02)02239-6
(Bi0.45Tl0.55)Sr2CaCu2O7,(Bi0.45Tl0.55)Sr2CaCu2O7,Bulk,,,SC,High-Tc,95 K,,,,,,,,,,FALSE,10.1016/S0921-4534(02)02239-6
(Bi0.4Pb0.35)Sr2(Y0.3Ca0.7)Cu2.25O7-z,(Bi0.4Pb0.35)Sr2(Y0.3Ca0.7)Cu2.25O7-z,Bulk,,,SC,High-Tc,110 K,,,,,,,,,,FALSE,10.1016/S0921-4534(02)02239-6
(Bi0.5Cu0.5)Sr2Y0.8Cu2.2O6.95,(Bi0.5Cu0.5)Sr2Y0.8Cu2.2O6.95,Bulk,,,SC,High-Tc,68 K,,,,,,,,,,FALSE,10.1016/S0921-4534(02)02239-6
(Bi0.5Hg0.5)Sr4Cu2(CO3)O7,(Bi0.5Hg0.5)Sr4Cu2(CO3)O7,,,,SC,High-Tc/cuprate,,,,,,,,,,,FALSE,10.1103/PhysRevB.71.094501
BPSCCO,(Bi0.5Pb0.5)2(Sr1.2Ca0.8)2Cu3O10,Bulk,,,SC,High-Tc,103 K,,Tetragonal,,I4/mmm,3.5943 Å,3.5943 Å,34.6194 Å,,,TRUE,10.1016/S0921-4534(02)01250-9
BPSCCO,(Bi0.5Pb0.5)2(Sr1.4Ca0.6)2Cu3O10,Bulk,,,SC,High-Tc,107 K,,Tetragonal,,I4/mmm,3.5631 Å,3.5631 Å,34.6432 Å,,,TRUE,10.1016/S0921-4534(02)01250-9
BPSCCO,(Bi0.5Pb0.5)2(Sr1.6Ca0.4)2Cu3O10,Bulk,,,SC,High-Tc,102 K,,Tetragonal,,I4/mmm,3.5467 Å,3.5467 Å,34.6627 Å,,,TRUE,10.1016/S0921-4534(02)01250-9
(Bi0.5Pb0.5)2Ba3Co2Oδ,(Bi0.5Pb0.5)2Ba3Co2Oδ,Bulk,,,NSC,,,,,,,,,,,,True,10.1103/PhysRevB.66.144514
BPSCCO,(Bi0.5Pb0.5)2Sr2Ca2Cu3O10,Bulk,,,SC,High-Tc,101 K,,Tetragonal,,I4/mmm,3.6732 Å,3.6732 Å,34.3176 Å,,,TRUE,10.1016/S0921-4534(02)01250-9
(Bi0.5Sb0.5)2TeSe2 (BSTS),(Bi0.5Sb0.5)2TeSe2,Bulk,,,NSC,,,,,,,,,,,,TRUE,10.1103/PhysRevB.102.144518
(Bi0.6Pb0.2S0.2)Sr2(Ca0.7Nd0.3)Cu2O6.95,(Bi0.6Pb0.2S0.2)Sr2(Ca0.7Nd0.3)Cu2O6.95,Bulk,,,SC,High-Tc,80 K,Ambient,Orthorhombic,,,3.828 Å,3.795 Å,12.02 Å,,,TRUE,10.1016/S0921-4534(02)02239-6
(Bi0.7Pb0.3)2Ca2Sr2Cu3O10,(Bi0.7Pb0.3)2Ca2Sr2Cu3O10,Bulk,,,SC,High-Tc,112 K,,,,,,,,,,TRUE,10.1016/0921-4534(89)90662-X
"(Bi,Pb)-2223",(Bi0.85Pb0.15)2Sr2Ca2Cu3O10+δ,Bulk,,,SC,High-Tc,105 K,1 atm,Plate-like,,,,,37.1 Å,,,TRUE,10.1016/j.physc.2005.03.031
"(Bi,Pb)-2223",(Bi0.85Pb0.15)2Sr2Ca2Cu3O10+δ,Bulk,,,SC,High-Tc,103 K,10 atm,Plate-like,,,,,37.1 Å,,,TRUE,10.1016/j.physc.2005.03.031
Bi-based HTSC,(Bi0.8Pb0.2)2(Sr0.9Ba0.1)2Ca2Cu3O10+y,Bulk,,,SC,High-Tc/Cuprate,108K,,,,,,,,,,TRUE,10.1016/S0921-4526(02)00865-7
